question,answer
What is the largest island in Southeast Asia?,Johor
What was the name of the British Empire that Singapore came under the direct control of?,British Empire
What is the main idea of the passage?,globalisation
What is the name of the country that has a Westminster system of unicameral parliamentary government?,Singapore
What is the Malay name for the country?,Singapura
What was the name of the Kingdom of Singapura?,Temasek
Singapore when he arrived in what country?,Singapore
"Which happened first, the Battle of Singapore or the surrender of the British forces?",Battle of Singapore
"What happened first, the surrender of Japanese forces in the region or the surrender of General Seishir Itagaki?",surrender of Japanese forces in the region
What was the name of the ruling party of Malaya?,U
ASEAN,ASEAN.
What is the name of the person who is appointed by the Prime Minister?,President
Who is the president of the United States?,presidential elections
What is the term for a racial community that has not been elected to the presidency in the five most recent terms?,reserved
Which group represents the majority of the Parliament?,nonpartisan
What is Singapore's stated foreign policy priority?,maintaining security in Southeast Asia and surrounding territories
What is the name of the military that is seen as the guarantor of the country's independence?,The Singaporean military
What is the country's capital punishment?,death penalty
What is the name of the country that has a highly developed market economy?,Singapore
What is Singapore's economy like?,competitive
What is the lowest unemployment rate in Singapore?,4%
What is the largest island in Singapore?,Pulau Ujong
"How many years has Singapore been a ""garden city""?",17
What time of day does Singapore follow?,rainfall
What is the main reason Singapore considers water a national security issue?,water access is universal and of high quality
What was the first congestion pricing scheme implemented in Singapore?,The Singapore Area Licensing Scheme
What is the name of the airport that Singapore Changi Airport hosts a network of over 100 airlines connecting Singapore to some 300 cities in about 70 countries and territories worldwide?,Singapore Changi Airport
Which airport in Doha has been rated as the world's best airport?,Hamad International Airport
What is the largest port in the world?,Shanghai
What is the largest export of Singapore?,refined petroleum
What is the largest industry in Singapore?,Tourism
Which group of people are not citizens?,foreign workers
What religion is the most widely practised religion in Singapore?,Buddhist
What is the official language of Singapore?,English language
"English is the language of instruction in all public schools, and all subjects are taught and examined in English except for the ""mother tongue"" language paper.","context: Education for primary, secondary, and tertiary levels is mostly supported by the state. All institutions, public and private, must be registered with the Ministry of Education (MOE)."
What is the highest life expectancy in Singapore?,84.8 years
What is the traditional description of Singapore?,a nation
What is the name of the Singapore Art Museum?,The National Gallery Singapore
What is the name of the country that is considered to be a place of cultural diffusion?,Singapore
What sport was the first Olympic medalist in Singapore?,Weightlifter Tan Howe Liang
What is the name of the company that controls most of the domestic media in Singapore?,SPH Media Trust
What is the equator's radial velocity?,1.367
