question,answer
"What is the name of the game that was released worldwide for Microsoft Windows, PlayStation 3, and Xbox 360?",The Elder Scrolls V: Skyrim
What is the name of the northernmost province of Tamriel?,Skyrim
What is the name of the game that Skyrim was developed using?,Oblivion
What was the name of the game that was released in June 2013?,The Elder Scrolls V: Skyrim – Legendary Edition
What is the name of the game that is played from a first- or third-person perspective?,The Elder Scrolls V: Skyrim
What is the primary attribute of a character?,health
What is the name of the first game in the series?,The Elder Scrolls IV: Oblivion
What is the name of the province that the Empire has recently fought a war with?,Skyrim
Who is the jarl of Windhelm?,Ulfric Stormcloak
Who was the last dragon?,Paarthurnax
How many races can the player character be from?,ten
Who is the primary antagonist of Skyrim?,Alduin
Who is the player who was caught up in the skirmish and mistakenly believed to be a rebel?,Ulfric Stormcloak
Who is Delphine's daughter?,Alduin
What is the name of the shout that Arngeir does not know?,Dragonrend
Who is the captured dragon?,Whiterun
What was the name of the game Bethesda Game Studios began work on in 2006?,Oblivion
What is the name of the game world that the team set the game in?,Skyrim
What was the codebase for Skyrim?,Fallout 3
What is the name of the game that Skyrim was released on?,Elder Scrolls
"Skyrim, what was the name of the game that Howard presented the announcement trailer for?",Skyrim
"What is the name of the game that was released on October 28, 2016?",The Elder Scrolls V: Skyrim – Special Edition
What year did Skyrim first appear on the Nintendo Switch?,2016
What is the name of the game that was released in November 2021?,The Elder Scrolls V: Skyrim – Anniversary Edition
What is the name of the game that was being ported to next-generation systems?,Skyrim
What is the name of the first downloadable add-on for Skyrim?,Dawnguard
What is the name of the mod that Skyrim uses to make the game more stable?,Creation Kit
What was the game's name?,The Elder Scrolls
What is the name of the game that was released in the year Skyrim was released?,PlayStation 3
How many more physical copies were sold than PS3?,1.3 million
What award did Skyrim receive from various gaming sites and publications?,PC Game of the Year
What is the name of the game that Skyrim has been credited with influencing?,The Legend of Zelda: Breath of the Wild
